car_model,price,year_model,kms,color,fueltype
Renault Logan 1.4 Entry Familier Fii,$25.500.000,2012,119.070,Rojo,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,55.065,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,58.962,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,59.978,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,62.580,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,54.284,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$45.000.000,2022,24.000,Color not found,Gasolina
Renault Logan 1.6 Expression,$18.900.000,2008,143.000,Plateado,Gasolina
Renault Logan 1.6 Life Mec,$37.900.000,2019,44.500,Gris,Gasolina
Renault Logan 1.4 Entry Familier,$20.900.000,2010,136.000,Plateado,Gasolina
Renault Logan 1.6 Expression Fii,$27.800.000,2015,104.500,Dorado,Gasolina
Renault Logan 1.6 Expression,$32.000.000,2017,101.481,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$25.900.000,2015,190.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$50.000.000,2022,56.472,Gris,Gasolina
Renault Logan 1.6 Dynamique,$50.500.000,2022,59.951,Gris,Gasolina
Renault Logan 1.6 Authentique,$39.000.000,2018,108.000,Gris,Gasolina
Renault Logan 1.6 Life,$43.900.000,2023,26.400,Gris,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.900.000,2011,120.000,Plateado,Gasolina
Renault Logan LIFE MT 1.6CC 8V,$39.900.000,2023,25.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.800.000,2014,99.000,Gris,Gasolina
Renault Logan Intens,$53.900.000,2023,23.000,Gris,Gasolina
Renault Logan Familier ,$23.500.000,2011,112.000,Gris,Gasolina
Renault Logan 2006 1.4 Expression,$19.800.000,0,0,Color not found,Fuel type not found
Renault Logan Privilege/intense,$57.800.000,2022,32.000,Gris,Gasolina
Renault Logan 2012 Dynamique Full Equipo,$24.800.000,2012,138.000,Rojo,Gasolina
Renault Logan EXPRESSION 1.6,$22.990.000,2011,117.000,Rojo,Gasolina
Renault Logan 1.6 Intens,$70.000.000,2024,6.300,Plateado,Gasolina
Renault Logan Logan Life+smart,$36.000.000,2019,176.827,Gris,Gasolina
Renault Logan At 1.6cc 16v 2022,$45.900.000,2022,56.800,Plateado,Gasolina
Renault Logan 1.6 Expression / Life +,$44.000.000,2022,44.000,Plateado,Gasolina
Renault Logan Fleet At,$47.500.000,2022,25.700,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,60.416,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$38.500.000,2019,44.400,Gris,Gasolina
Renault Logan Life+,$47.000.000,2021,39.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier,$27.900.000,2011,76.500,Negro,Gasolina
Renault Logan 1.6 Life,$45.000.000,2019,68.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$48.000.000,2020,44.906,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$51.500.000,2021,36.000,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$32.500.000,2017,56.000,Gris,Gasolina
Renault Logan Logan Life,$43.000.000,2021,91.529,Gris,Gasolina
Logan Life 8v Fl 2021,$41.500.000,2021,32.000,Rojo,Gasolina
Renault Logan 1.4 Entry Familier,$24.000.000,2011,208.026,Negro,Gasolina
Renault Logan 1.4 Dynamique,$18.700.000,2006,126.900,Plateado,Gasolina
Renault Logan 1.6 Dynamique Fii,$27.000.000,2011,120.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$35.800.000,2017,55.029,Plateado,Gasolina
Renault Logan 1.6 Dynamique,$22.000.000,2008,101.466,Azul,Gasolina
Renault Logan 1.6 Expression,$36.500.000,2017,58.000,Gris,Gasolina
Renault Logan Privilege 1.6,$37.000.000,2017,78.000,Negro,Gasolina
Renault Logan 2018,$38.500.000,2018,44.500,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$22.500.000,2011,158.000,Rojo,Gasolina
Renault Logan Exclusive 2019,$40.000.000,2019,42.000,Gris,Gasolina
Renault Logan DYNAMIQUE FULL EQUIPO A/A,$27.490.000,2011,117.000,Rojo,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.900.000,2014,108.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.500.000,2013,139.680,Negro,Gasolina
Renault Logan 1.4 Entry Familier,$24.500.000,2011,84.000,Rojo,Gasolina
Renault Logan 1.6 Authentique / Life,$38.000.000,2019,64.500,Plateado,Gasolina
Renault Logan 1.6 Authentique / Life,$45.000.000,2021,12.419,Blanco,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.000.000,2013,103.954,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$27.800.000,2015,86.000,Color not found,Gasolina
Renault Logan L,$40.500.000,2019,41.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$30.000.000,2016,90.500,Rojo,Gasolina
Renault Logan 1.6 Expression / Life +,$47.000.000,2022,33.000,Gris,Gasolina
Renault Logan 1.6 Expression,$20.000.000,2008,252.000,Color not found,Gasolina
Renault Logan 1.6 Authentique,$37.500.000,2020,71.000,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,$27.000.000,2012,129.000,Rojo,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.500.000,2012,115.000,Plateado,Gasolina
Renault Logan 1.6 Dynamique,$33.500.000,2016,136.446,Plateado,Gasolina
Renault Logan 1.6 Life,$47.500.000,2023,20.900,Plateado,Gasolina
Renault Logan 1.6 Expression Fii,$25.000.000,2012,224.230,Negro,Gasolina
Renault Logan 1.6 Privilege / Intens,$45.000.000,2020,39.500,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$24.000.000,2013,116.000,Gris,Gasolina
Renault Logan 1.6 Dynamique Fii,$29.000.000,2015,108.000,Gris,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.000.000,2013,168.169,Blanco,Gasolina
